Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
People Data Scientist,Employer Provided Salary:$141K - $186K,"Who we are:
lululemon is a yoga-inspired technical apparel company up to big things. The practice and philosophy of yoga informs our overall purpose to elevate the world through the power of practice. We are proud to be a growing global company with locations all around the world, from Vancouver to Shanghai, and places in between. We owe our success to our innovative product, our emphasis on our stores, our commitment to our people, and the incredible connections we get to make in every community we are in.

About this team:
The People Analytics & Insights team at lululemon is on a journey to create a high-performance work culture by supporting the People & Culture (HR) organization and the rest of the company with data-driven insights. As a People Data Scientist, you are an exceptional critical thinker comfortable leading end-to-end data science projects, and passionate about uncovering hidden opportunities deep within data. You will work closely with leaders at all levels and project managers to address challenges that impact the whole company and its revenue from the employee and organizational perspective. You will be responsible for collaborating with and supporting stakeholders and partners, using data to influence key strategic business decisions, and scale insights as we grow our work.




Compensation and Benefits Package
lululemon’s compensation offerings are rooted in a pay-for-performance philosophy that recognizes exceptional individual and team performance. The typical hiring range for this position in Washington is from $141,400 - $185,600 annually; the base pay offered is based on market location and may vary depending on job-related knowledge, skills, experience, and internal equity. As part of our competitive Total Rewards offering, permanent employees in this position may be eligible for our competitive annual bonus offering, subject to program eligibility requirements.

At lululemon, investing in our people is a top priority. We believe that when life works, work works. In addition to our competitive Total Rewards offering, we also have personal and professional development offerings. Our offerings recognize our teams for their performance and support whole person development, including support for employees on how to grow their career:

Availability of the incentive programs, benefits, and perks may be subject to your location & employment type and may have certain eligibility requirements. The Company reserves the right to alter these incentive programs, benefits, and perks in whole or in part at any time without advance notice.
Show More
Report",2.9,"Lululemon
4.3","Seattle, WA",-1,"Size
10000+ Employees",-1,"Founded
1998","Type
Company - Public","Industry
Department, Clothing & Shoe Stores","Sector
Retail & Wholesale"
Data Scientist,Employer Provided Salary:$80K - $120K,"Meet MedPro Group. We’re an industry-leading Berkshire Hathaway insurance company with a passion for our clients and our team. We are hundreds of professionals with varied backgrounds and experience levels who came together to achieve one goal: protecting those who have made it their mission to serve and care for others. Never considered the insurance industry before? We think you should.

At MedPro, not only are we leading the medical malpractice industry in the application of Data Science and examination of novel data sets, we are also expanding the boundaries of Data Science itself. While a formal education in Data Science provides a good foundation, many business problems do not fit into a common schema. That does not stop us. We routinely develop novel solutions and deliver results. In fact, 10% of our time is spent researching ideas we believe will have a return on the work that we do. If you are interested in a continual pursuit of increased industry excellence, we would like to hear from you.

What We Look For...

Experienced practitioners who are passionate about data and applying the latest machine learning technology to solve business problems.
Self-starters interested in growing with the department and a strong desire to see projects from beginning to end.
Driven and genuinely curious people who can accomplish tasks without extensive direction.

In this role you will...

Design and build the tools that progress the company along its digital journey.
Utilize a vast amount of data to help develop a deep understanding of underwriting risk and medical malpractice claims severity.
Build common analytic platforms across our diverse businesses.
Build natural language models for medical data extraction and better claim insights.
Declare, create, and test new programs, methodologies, and software.
Develop and implement Machine Learning / Deep Learning models.
Lead the monitoring and maintenance of models.
Communication to all affected departments. This includes the creation of appropriate documents (PowerPoint presentations, etc.) to be used in the communication of predictive model results to the company.
Mentor lower level associates.
Practice teamwork, flexibility and adaptability, obsessive client focus, results orientation, decision making and critical thinking, effective communication.

What Skills You Need...


Research, modeling or actuarial experience required. Healthcare / medical malpractice experience is preferred
Strong understanding of insurance related modeling and data, as well as current tools (software, existing code, theory) and data manipulation techniques
Strong math skills, including a working knowledge of multivariate calculus, linear algebra, basic probabilistic and statistical concepts, and regression


Minimum 4+ years’ experience in Python/R scripting and manipulating data
Experience with Natural Language Processing/Text Mining or Healthcare
Experience in machine learning, including deep learning models
Ability to break down complex problems into simple tasks and elegant solutions


The ability to translate technical ideas into simple explanations to non-technical audiences
The ability to speak with precision and concision


Masters in Statistics or related field. A history of continued learning or accomplishment is preferred.
4+ years of technical experience with the above qualifications


Doctorate degree in Statistics or related field
Experience with multiple programming languages
Experience in linguistics or medical terminology
Experience with AWS Cloud services

Why Medpro?

MedPro Group’s mission is built on a century-old legacy of protecting those who protect others. From our roots in our hometown of Fort Wayne, Indiana, we've worked diligently to become the nation's premier healthcare liability coverage provider, currently insuring more than 300,000 customers. With that growth, we've built a significant presence in all 50 states. Our team works across the country to provide the best strategies to mitigate risk and preserve the reputations of those who have entrusted their good name to us. That passion – built on a foundation of a culture that values uncompromised integrity, obsessive client focus, great teamwork, and a long-term mindset – makes MedPro a preferred employer that many call their career home.

What’s in it for you?

Competitive salary and benefits package with medical, dental, and vision coverage day one.
Traditional and Roth 401k with company matching, fully vested immediately.
Continued education support and conference attendance.

MedPro Group is an Equal Opportunity Employer. The annual gross base salary range is $80,000 to $120,000. This range anticipates the low and high end of the salary for this position. Actual salaries will vary and are based on factors such as a candidate’s qualifications, skills and competencies. Salary is one component of MedPro’s total compensation and benefits package, which includes medical, vision and dental insurance options, life and accident insurance, 401(k), and short-term and long-term disability insurance. For a more detailed overview, visit our careers website at www.medpro.com/careers. #LI-Remote #LI-EH1
Show More
Report",2.9,"MedPro Group
3.8",Remote,-1,"Size
1001 to 5000 Employees",-1,"Founded
1899","Type
Subsidiary or Business Segment","Industry
Insurance Carriers","Sector
Insurance"
Data Scientist,Employer Provided Salary:$50.00 - $60.00 Per Hour,"Resume should have education details along with year of graduation and LinkedIn profile.
Also include visa status while sending the candidate.
Data Scientist
Contract Length: 4-6 months
Coding: Mainly in Python but knowledge of R, Scala, Go or C++ would be beneficial.
Cloud computing: Being familiar with AWS and the tools available for data science and ETL would be ideal. A strong knowledge of open source tools would be very beneficial as well.
Data Cleaning: Good data hygiene practices are a requirement. Knowing how to do data discovery for quick iteration of ideas is key.
Show More
Report",2.9,zettalogix.Inc,Remote,-1,"Size
1 to 50 Employees",-1,"Type
Company - Private","Revenue
Unknown / Non-Applicable",-1,-1
Junior Data Scientist,Employer Provided Salary:$55K - $60K,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.


Show More
Report",2.9,"Augray
4.1","Brookfield, WI",-1,"Size
51 to 200 Employees",-1,"Founded
2014","Type
Subsidiary or Business Segment","Industry
Information Technology Support Services","Sector
Information Technology"
Data Scientist,Employer Provided Salary:$32.00 - $42.00 Per Hour,"Data Scientist responsibilities include:
Data mining or extracting usable data from valuable data sources
Using machine learning toolsto select features, create and optimize classifiers
Carrying out preprocessing of structured and unstructured data
Developing prediction systems and machine learning algorithms
Presenting results in a clear manner
Job Type: Contract
Pay: $32.00 - $42.00 per hour
Show More
Report",2.9,Ingress IT Solutions,Remote,-1,"Size
Unknown",-1,"Type
Company - Public","Revenue
Unknown / Non-Applicable",-1,-1
Data Scientist,Employer Provided Salary:$65.00 - $75.00 Per Hour,"TECHNICAL SKILLS
Must Have
4-5 years related work experience, including two to three years specializing in machine learning and cloud computing.
Intermediate proficiency in one or more programming languages, including R, Python, Spark, and others
Master’s degree or above in Statistics, Economics, Data Science, or related field.
Outstanding written and verbal communication skills, able to explain complicated AI models using easy to understand language
Progressive thinking and problem solving, with a strong ability to manage ambiguity/complexity
Show More
Report",2.9,"Devcare Solutions
3.7","Columbus, OH",-1,"Size
51 to 200 Employees",-1,"Founded
2005","Type
Company - Private","Industry
Information Technology Support Services","Sector
Information Technology"
Data Scientist,Employer Provided Salary:$124K - $186K,"Are you solution-oriented and passionate about delivering results? Do you like thinking outside the box, learning new skills and problem solving?
Excited to learn more? If so, then this could be the role for you!
LPL Financial (Nasdaq: LPLA) was founded on the principle that the firm should work for the advisor, and not the other way around. Today, LPL is a leader* in the markets we serve, supporting more than 18,000 financial advisors, 800 institution-based investment programs and 450 independent RIA firms nationwide. We are steadfast in our commitment to the advisor-centered model and the belief that Americans deserve access to personalized guidance from a financial advisor. At LPL, independence means that advisors have the freedom they deserve to choose the business model, services, and technology resources that allow them to run their perfect practice. And they have the freedom to manage their client relationships, because they know their clients best. Simply put, we take care of our advisors, so they can take care of their clients.
$124,000-$186,000/year
The salary range is dependent on a number of factors, including the applicant’s skill, experience, and work location.
Show More
Report",2.9,"LPL Financial
3.8",South Carolina,-1,"Size
1001 to 5000 Employees",-1,"Founded
1968","Type
Company - Public","Industry
Investment & Asset Management","Sector
Financial Services"
Data Scientist,Employer Provided Salary:$34.00 Per Hour,"Acara Solutions is looking for a Data Scientist for our client located in Auburn, ME
Develops predictive models and conducts advanced analytics, data mining, and data visualization to influence strategic decisions through client.
Researches and understands specific business needs related to the necessary data being sought and conducts interviews with business owners to innovate solutions.
Creates reporting, attribution, and documentation to track and monitor model results and metrics across the company.
Develops and implements scorecards and data-driven predictive models covering different areas of the company, including Operations, Sales, Marketing, Risk Management, IT, and HR to assist in strategic decision makers in those organizations.
Utilizes advanced functionality of Microsoft Office SQL, VBA, SAS, R or Business Objects to perform data mining and automation. Extracts and houses data from internal client systems for use in modeling applications.
Show More
Report",2.9,"Acara Solutions
3.4",Remote,-1,"Size
10000+ Employees",-1,"Founded
1957","Type
Company - Private","Industry
HR Consulting","Sector
Human Resources & Staffing"
Jr. Data Scientist,$65K - $104K (Glassdoor est.),"Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:













Show More
Report",2.9,"Kyla
4.3","San Jose, CA","San Jose, CA","Size
1 to 50 Employees",,"Type
Company - Private","Revenue
Unknown / Non-Applicable",-1,-1
Data Scientist (Mid Level),Employer Provided Salary:$60.00 - $72.00 Per Hour,"HYBRID/REMOTE - STRONG PREFERENCE for HYBRID - all coming into the office now to work with each other - large project coming in and onsite meetings will be needed - ideal to have a local candidate to come in for meetings throughout the week initially at start of assignment; if not remote is an option, but must support EST hours
MUST HAVES:
STRONGLY DESIRED: running price and promotion regression models - look at the code for regressions
MS/Ph.D. student (Ph.D. student preferred) in statistics, computer science, mathematics, engineering, operations research, or another quantitative field
Solid knowledge of both theory and practice of data science. Demonstrated expertise in some or all of the following: probability, statistics, operations research, classification and clustering methods, variable selection, and decision trees. Of particular interest are candidates experienced with formulating and solving optimization problems and experience with forecasting methods.
Show More
Report",2.9,"Khoj Information Technology, Inc.
4.1","Camden, NJ",-1,"Size
51 to 200 Employees",-1,"Founded
1998","Type
Company - Private","Industry
Information Technology Support Services","Sector
Information Technology"
